Comparison,PCA_Num,PCA Stage,Model,Accuracy_Mean,Accuracy_Std,Accuracy_95CI_Low,Accuracy_95CI_High,AUC_Mean,AUC_Std,AUC_95CI_Low,AUC_95CI_High,Sensitivity_Mean,Sensitivity_Std,Sensitivity_95CI_Low,Sensitivity_95CI_High,Specificity_Mean,Specificity_Std,Specificity_95CI_Low,Specificity_95CI_High,F1-score_Mean,F1-score_Std,F1-score_95CI_Low,F1-score_95CI_High,Mean_TP,Mean_TN,Mean_FP,Mean_FN
MCI vs AD,100,Before Scaling,SVM (Linear),0.6953108828914896,0.0289309287899102,0.6593883901784611,0.7312333756045181,0.7437410091321215,0.0311513313834348,0.7050615224571953,0.7824204958070476,0.68852033232468,0.0453327357034481,0.632232306461622,0.744808358187738,0.7068385554423108,0.0773102352202103,0.6108452196767108,0.8028318912079108,0.7261995622075901,0.0270415425723529,0.692623052339605,0.7597760720755752,64.0,46.0,19.2,29.0
MCI vs AD,100,Before Scaling,SVM (RBF),0.7168298702332617,0.0562160429440821,0.647028433588118,0.7866313068784054,0.7687857399970444,0.0415501837915912,0.7171943726642758,0.820377107329813,0.723925983436853,0.0670607658059283,0.6406590448436577,0.8071929220300483,0.7088280800422181,0.0693137588008434,0.6227636811590314,0.7948924789254048,0.7499873694437696,0.0495891978415515,0.6884142477841112,0.8115604911034281,67.2,46.2,19.0,25.8
MCI vs AD,100,Before Scaling,SVM (Poly d2),0.580240426717618,0.0284375701204496,0.5449305197026605,0.6155503337325755,0.6268230729803028,0.0367157131024418,0.5812344938526225,0.6724116521079831,0.6638241227371663,0.0730853491139404,0.5730766759462329,0.7545715695280997,0.4654204355470323,0.086207423708389,0.3583797811504278,0.5724610899436368,0.6489582773598555,0.0324144239746509,0.6087104540880183,0.6892061006316926,61.6,30.2,35.0,31.4
MCI vs AD,100,Before Scaling,SVM (Sigmoid),0.6814266380065281,0.0293876485338047,0.6449370528302371,0.7179162231828192,0.7500875362047303,0.0383118561952039,0.7025170836627856,0.797657988746675,0.7206522402718054,0.0364166026598561,0.6754350558121706,0.7658694247314403,0.6257259154664915,0.1154891611131613,0.4823271819295246,0.7691246490034583,0.7270928114984416,0.0097845355466168,0.7149437059710624,0.7392419170258209,67.0,40.8,24.4,26.0
MCI vs AD,100,After Scaling,LR (L1),0.7156038531964015,0.0315674589611374,0.6764076758895823,0.7548000305032208,0.7780547366442375,0.0369055283213778,0.7322304707928933,0.8238790024955818,0.6958032064553804,0.0546812342853206,0.6279074864659524,0.7636989264448084,0.7462011819215364,0.0598479339002879,0.6718901570306701,0.8205122068124027,0.741533859340205,0.0304065272311481,0.7037791691668859,0.7792885495135241,64.6,48.6,16.6,28.4
MCI vs AD,100,After Scaling,LR (L2),0.7029297030491203,0.0253544648102449,0.6714479769005148,0.7344114291977257,0.7680240509559567,0.032887793547635,0.7271884617275001,0.8088596401844134,0.6758830360460796,0.0320358843629347,0.6361052317820045,0.7156608403101546,0.7430744472107864,0.0529162636408735,0.6773702277284548,0.808778666693118,0.7277861169680524,0.0217036086342908,0.7008375274957491,0.7547347064403557,62.8,48.4,16.8,30.2
MCI vs AD,100,After Scaling,LR (ElasticNet),0.7193774381020619,0.0290796368480798,0.6832702999469615,0.7554845762571623,0.7779421723267879,0.0347785082005167,0.7347589507829717,0.821125393870604,0.7192510086531826,0.0489665421089827,0.65845101619993,0.7800510011064352,0.7216469322150593,0.0541753932650973,0.6543792968092571,0.7889145676208614,0.7504630236288484,0.0269032378515602,0.7170582417534532,0.7838678055042436,66.8,47.0,18.2,26.2
MCI vs AD,100,After Scaling,SVM (Linear),0.6940689435554493,0.0405597972722718,0.6437073035080261,0.7444305836028726,0.761802663641747,0.0425211992011514,0.7090056214332264,0.8145997058502675,0.6780695572543399,0.0529588806803812,0.6123124217283415,0.7438266927803383,0.7188560307623437,0.051207896680207,0.6552730290307925,0.7824390324938949,0.7221393194651008,0.0395273129279792,0.6730596780566946,0.7712189608735069,63.0,46.8,18.4,30.0
MCI vs AD,100,After Scaling,SVM (RBF),0.7243850011941725,0.0306980137133009,0.6862683827500012,0.7625016196383437,0.7744920470888182,0.0357031683852717,0.7301607082830194,0.8188233858946171,0.715133182035356,0.0553606554037074,0.6463938493036078,0.7838725147671043,0.7405096673413534,0.0517935331133908,0.6761995019346813,0.8048198327480255,0.7525640936610344,0.0297059967293975,0.7156792269913826,0.7894489603306861,66.4,48.2,17.0,26.6
MCI vs AD,100,After Scaling,SVM (Poly d2),0.5878433245760688,0.0169441244704516,0.5668044152400254,0.6088822339121122,0.37630329164337,0.0435022449407728,0.3222881202593705,0.4303184630273695,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7403153669347263,0.0134145276209732,0.7236590309348538,0.7569717029345988,93.0,0.0,65.2,0.0
MCI vs AD,100,After Scaling,SVM (Sigmoid),0.7092508558235808,0.0135104426352708,0.6924754256035678,0.7260262860435939,0.7627613311458182,0.0360679095485284,0.7179771063689406,0.8075455559226958,0.78440535913362,0.0807687880205318,0.6841176628699739,0.8846930553972661,0.6069319955991909,0.0963265261453753,0.4873268160124445,0.7265371751859372,0.7589954078974314,0.0234116596712617,0.7299259929454266,0.7880648228494361,72.8,39.4,25.8,20.2
