Comparison,PCA_Num,PCA Stage,Model,Accuracy_Mean,Accuracy_Std,AUC_Mean,AUC_Std,Sensitivity_Mean,Sensitivity_Std,Specificity_Mean,Specificity_Std,F1-score_Mean,F1-score_Std
NC vs MCI,100,Before Scaling,NeuralNet,0.48977688977688966,0.08065155322831402,0.4800665344211222,0.08678101999772081,0.6177051671732523,0.35831192446528093,0.301485826001955,0.35423880954973985,0.5536976949849436,0.2020832182186734
NC vs MCI,100,Before Scaling,KNN,0.5854811854811854,0.04865133725503203,0.5826300362603334,0.07014276751195354,0.7392598844263969,0.10487679334438728,0.35560117302052785,0.14914650286245779,0.6865360689730438,0.04297134985424134
NC vs MCI,100,Before Scaling,RandomForest,0.6318015318015318,0.07398807298993816,0.6432372563152212,0.030934495484044276,0.9205515576005862,0.018183846622873933,0.16723362658846533,0.09415660223468003,0.755603771187229,0.05318422705992225
NC vs MCI,100,Before Scaling,SVM,0.624042624042624,0.08332663812761382,0.6524762138521868,0.08545664049118767,0.7162719103283396,0.07585046874304455,0.4673313782991203,0.10457407921911738,0.7003143010416629,0.07644126799225893
NC vs MCI,100,Before Scaling,LogisticRegression,0.6293706293706294,0.05358874528298242,0.6639650590628221,0.08096776987127052,0.740457969412641,0.05084054803079572,0.44508308895405674,0.05361382363030455,0.7112166115068991,0.05192849170048393
NC vs MCI,100,After Scaling,NeuralNet,0.5077256077256077,0.05702789908596751,0.5142153778448237,0.03340421656522633,0.46064460516356903,0.2637845284906047,0.5582404692082112,0.29396985565597644,0.48991199696459287,0.24040312261692584
NC vs MCI,100,After Scaling,KNN,0.5957375957375957,0.03127722357448712,0.5717792584650143,0.055196981286317115,0.7946400038444442,0.05249096024545867,0.2841251221896383,0.10059486013637556,0.7084977984977986,0.026968569711745487
NC vs MCI,100,After Scaling,RandomForest,0.6059940059940059,0.05243851308811646,0.624162183947987,0.049757351392362495,0.9459783509737256,0.03478107618780916,0.04948191593352884,0.040119569523514614,0.7477619261233517,0.04200650817857209
NC vs MCI,100,After Scaling,SVM,0.662903762903763,0.09409112828302142,0.6583585529857853,0.08070502822103795,0.8300419284693105,0.0753118185595728,0.3851221896383187,0.12304667958474931,0.7515536106368803,0.07514218081539956
NC vs MCI,100,After Scaling,LogisticRegression,0.6396603396603396,0.0796664932888599,0.6696213445029844,0.080610109030409,0.7540835205497555,0.07222114647342774,0.4434408602150538,0.10985119174376128,0.7197956334094948,0.07248137794099577
NC vs AD,100,Before Scaling,NeuralNet,0.48510638297872344,0.11398378924237339,0.5075119967911406,0.09885132841667695,0.5376746016132206,0.26555426875254134,0.41851957270363344,0.29393980433024774,0.4161443924749542,0.13043417460725784
NC vs AD,100,Before Scaling,KNN,0.6042553191489362,0.05340383148089844,0.599187531775396,0.05870477664975646,0.317512295888255,0.17538456388002455,0.7919495396724998,0.10106754458693402,0.3509668109668109,0.14015861947855932
NC vs AD,100,Before Scaling,RandomForest,0.7617021276595745,0.05297829616165417,0.8536840358648584,0.031053670157207804,0.447413436946685,0.1538372609299398,0.9461163820366856,0.03703421446719285,0.5708974766833206,0.1631597221163538
NC vs AD,100,Before Scaling,SVM,0.7063829787234042,0.046126560401444285,0.7761344500879194,0.05103960028173508,0.5262335235097384,0.12122464806487067,0.7997083421182094,0.11188646357764787,0.5675591094272721,0.06580737500803592
NC vs AD,100,Before Scaling,LogisticRegression,0.7191489361702128,0.0773017111684466,0.7897086418029409,0.037201578029487224,0.46560594137320477,0.16548852289314261,0.8619551619931126,0.10379372218629176,0.5465714406304454,0.09142664036390168
NC vs AD,100,After Scaling,NeuralNet,0.5659574468085106,0.13919512539400958,0.4956064461363116,0.13584396680743038,0.31093842219161916,0.19932054631376872,0.6867018061704969,0.25351786242753926,0.32703686125613035,0.19783508521966695
NC vs AD,100,After Scaling,KNN,0.6,0.09562640448614569,0.649770637759665,0.11520547729093995,0.45951111548298246,0.21772184856494917,0.7093161852554642,0.15344142580887862,0.4442063098192131,0.11450920246107515
NC vs AD,100,After Scaling,RandomForest,0.7659574468085106,0.05424488844247643,0.8844654923020983,0.03854145443061223,0.4177213259885894,0.1013182476770701,0.9812144212523719,0.028560869051923492,0.5677337429595494,0.09067398242084229
NC vs AD,100,After Scaling,SVM,0.727659574468085,0.059040157129836617,0.7640467281361184,0.06533986314432616,0.5413422191619123,0.14847330249058682,0.8285237894440931,0.09502843926549875,0.5918659673659674,0.07605527133039704
NC vs AD,100,After Scaling,LogisticRegression,0.7617021276595745,0.05079717611197156,0.7939378679511506,0.06375693502300295,0.5324621286641747,0.16060275733074755,0.8940059034366434,0.07488655767054875,0.6165685555490652,0.09319557415167486
MCI vs AD,100,Before Scaling,NeuralNet,0.5196736596736596,0.06553259745719196,0.48596167092886533,0.07300339788437236,0.42495253284726964,0.15136295629455815,0.5456780241035559,0.11267924868905427,0.31761006289308175,0.09156420477186974
MCI vs AD,100,Before Scaling,KNN,0.7234032634032636,0.04715906345481543,0.585180117575198,0.08314998923366457,0.010526315789473684,0.02353755765789252,0.9873530724594554,0.01161164346927885,0.019047619047619046,0.04259177099999599
MCI vs AD,100,Before Scaling,RandomForest,0.7324941724941725,0.04879334124674103,0.6349282194894024,0.03955998706507025,0.0125,0.027950849718747374,1.0,0.0,0.023529411764705882,0.052613364176465637
MCI vs AD,100,Before Scaling,SVM,0.7294638694638695,0.046064168487134495,0.6648286487088534,0.04799594101916881,0.0,0.0,1.0,0.0,0.0,0.0
MCI vs AD,100,Before Scaling,LogisticRegression,0.7143589743589743,0.032063612800766916,0.6434341903473025,0.053328941656637374,0.36788657249183565,0.13525123160150557,0.8414985865198631,0.04170900032661599,0.4000244588479883,0.11159934046310946
MCI vs AD,100,After Scaling,NeuralNet,0.5110489510489511,0.1611321779402692,0.4989188152216758,0.06542397285585969,0.5712757271967799,0.34353556073119196,0.4809721767594108,0.3288193180034494,0.3480142327201151,0.15405726511545637
MCI vs AD,100,After Scaling,KNN,0.7263869463869463,0.045864921755596526,0.5734449953642791,0.07735484193728394,0.023026315789473683,0.03172253539800314,0.9876432078559738,0.011311034189221034,0.04257703081232493,0.058836866568587665
MCI vs AD,100,After Scaling,RandomForest,0.7263869463869466,0.04709963113804913,0.6450341187707064,0.036158955189883414,0.0125,0.027950849718747374,0.9917446808510638,0.011313068275545448,0.02222222222222222,0.04969039949999532
MCI vs AD,100,After Scaling,SVM,0.7294638694638695,0.046064168487134495,0.6491881968744434,0.028688909059935194,0.0,0.0,1.0,0.0,0.0,0.0
MCI vs AD,100,After Scaling,LogisticRegression,0.7140326340326341,0.04835984423546804,0.6541707804846866,0.04653528075132751,0.3623775347459558,0.07324042542832411,0.8467433417646182,0.0668005118385824,0.40377585912624847,0.06831735003728945
