Comparison,PCA Stage,Model,Accuracy_Mean,Accuracy_Std,AUC_Mean,AUC_Std,Sensitivity_Mean,Sensitivity_Std,Specificity_Mean,Specificity_Std,F1-score_Mean,F1-score_Std
NC vs MCI,Before Scaling,NeuralNet,0.5925689479060265,0.12169502272530919,0.4482072171591641,0.06087138316204937,0.3267973856209151,0.1811884480474394,0.6571596244131455,0.18803176711631156,0.22589578214578215,0.06896059486026858
NC vs MCI,Before Scaling,KNN,0.8220888661899899,0.02894786142366718,0.6895045107244775,0.05399242137990207,0.19869281045751636,0.09075322853704464,0.9720657276995306,0.013988681365657977,0.2986448334274421,0.12079715687314382
NC vs MCI,Before Scaling,RandomForest,0.8400153217568948,0.02240979727295952,0.7843620546810274,0.07703207011426293,0.17320261437908496,0.12109155106960069,1.0,0.0,0.27997087580611607,0.18577564440327027
NC vs MCI,Before Scaling,SVM,0.8063074565883553,0.004873680971397436,0.7925504004418669,0.052076658985792404,0.0,0.0,1.0,0.0,0.0,0.0
NC vs MCI,Before Scaling,LogisticRegression,0.8310520939734423,0.018108792763495328,0.7277018319064714,0.0680746162254168,0.3947712418300654,0.07138858782176807,0.9357589984350547,0.01582610101202649,0.47327787443471536,0.06871875804268184
NC vs MCI,After Scaling,NeuralNet,0.526685393258427,0.24310738882165714,0.5633549663997054,0.04889131872380083,0.5294117647058824,0.42213823807080364,0.5283646322378717,0.40084847016517067,0.25064374437715936,0.1434823381677273
NC vs MCI,After Scaling,KNN,0.8107507660878447,0.023693811658503858,0.6919485869465158,0.0626024640889534,0.08169934640522876,0.0529976298700224,0.9859546165884193,0.01408477873151274,0.1432581453634085,0.09367293232244502
NC vs MCI,After Scaling,RandomForest,0.8355464759959143,0.015625187477812382,0.7983890269722913,0.05971714783869073,0.16143790849673204,0.10034329557137407,0.9971830985915492,0.0062987830352106665,0.26396825396825396,0.14580036880427233
NC vs MCI,After Scaling,SVM,0.8063074565883553,0.004873680971397436,0.8342907115898003,0.05523103278121996,0.0,0.0,1.0,0.0,0.0,0.0
NC vs MCI,After Scaling,LogisticRegression,0.8311031664964249,0.010809412316946286,0.771527202430268,0.05123441076298302,0.39542483660130723,0.07650130660601061,0.9357981220657278,0.01572166437979944,0.4727442002442003,0.052370598907476695
NC vs AD,Before Scaling,NeuralNet,0.47674028515515793,0.05642981516561421,0.47967806056612583,0.08724081841291657,0.35350877192982455,0.28904385951601713,0.6051643192488262,0.2825928374958367,0.3531877219720758,0.2226406698003382
NC vs AD,Before Scaling,KNN,0.7261485416084242,0.027906168978667156,0.7722835433654559,0.03269115774112154,0.6702807017543859,0.06230313408715632,0.7849765258215962,0.014778818786825463,0.7138000724750221,0.0380270908459067
NC vs AD,Before Scaling,RandomForest,0.8992172211350293,0.03405302791107467,0.9565660159789144,0.02008682010254829,0.8856140350877194,0.020369017927999954,0.9133802816901408,0.06877061835669755,0.9007590875910472,0.03132505152320351
NC vs AD,Before Scaling,SVM,0.8978287205293076,0.017938936469425792,0.9587439529967329,0.011208822256621112,0.8909824561403508,0.02549226039614078,0.9050078247261346,0.047811453815999175,0.8995896953793812,0.015266696756604282
NC vs AD,Before Scaling,LogisticRegression,0.8106420650451961,0.02849525696706888,0.8912290585618976,0.022114708580014207,0.8112631578947369,0.05872247198924926,0.8100156494522691,0.05488743512457947,0.8140320566278699,0.02907230433173757
NC vs AD,After Scaling,NeuralNet,0.5123287671232877,0.03093007928022866,0.5193624358235182,0.04655590257873962,0.5092280701754386,0.3073600996229968,0.5174882629107981,0.2916077391091373,0.46324643919083064,0.23232840744449332
NC vs AD,After Scaling,KNN,0.7030006523157207,0.02228240851845996,0.7792050352799057,0.022324110762036258,0.5481052631578948,0.0641803687208747,0.8660798122065728,0.039561226465724936,0.6524188422148589,0.04089804828288324
NC vs AD,After Scaling,RandomForest,0.8815021899170625,0.024184439165765848,0.9461561513329491,0.01625283044470795,0.8776842105263158,0.033067825315535926,0.8855242566510171,0.06905173960055176,0.8840393849954513,0.020376164586366645
NC vs AD,After Scaling,SVM,0.8842232783524369,0.032523839672715806,0.959897537270406,0.013922742585382468,0.880456140350877,0.046502084134696794,0.888262910798122,0.06765863256715847,0.8865579962482769,0.030022710499390072
NC vs AD,After Scaling,LogisticRegression,0.8024601621470506,0.02030753600496176,0.8808647283309996,0.029352580960537063,0.7953333333333333,0.0594231529886383,0.8101330203442879,0.056765105239588394,0.8043732131481269,0.022791320434994336
MCI vs AD,Before Scaling,NeuralNet,0.43695652173913047,0.30357389610650226,0.4899754615296411,0.07271599522846824,0.4106666666666666,0.4737932038347532,0.5431372549019609,0.44646072823164795,0.4154571043750662,0.42404024713970423
MCI vs AD,Before Scaling,KNN,0.8224871435250117,0.045311483472159096,0.6940485036119712,0.06488021536940776,0.9468070175438597,0.033994912081062964,0.27908496732026145,0.12735877341607546,0.8966425134863008,0.026808251238895027
MCI vs AD,Before Scaling,RandomForest,0.8419588592800373,0.010295268969033777,0.8333117761724573,0.06884556283612038,1.0,0.0,0.15032679738562094,0.06319960655494679,0.9115272620415142,0.005122381887970475
MCI vs AD,Before Scaling,SVM,0.8786582515194017,0.028648278055611764,0.8574576310056186,0.04693155396374336,0.962701754385965,0.03323151578126318,0.5111111111111112,0.10066208265714226,0.928008088340477,0.017586008562656602
MCI vs AD,Before Scaling,LogisticRegression,0.828985507246377,0.019547908580965157,0.7403183121201696,0.10008055427027447,0.9388771929824562,0.03589115243374708,0.34967320261437906,0.04758241757699685,0.8991414484008239,0.013462882922181804
MCI vs AD,After Scaling,NeuralNet,0.5668770453482936,0.1521145293539013,0.596646256163284,0.17183521625462367,0.5793333333333334,0.169646691685986,0.5091503267973856,0.21442491140997416,0.6750358003512051,0.14122599807910147
MCI vs AD,After Scaling,KNN,0.8160589060308554,0.02375170473004668,0.7212516913198028,0.03961130943687623,0.9362807017543859,0.025064521233897876,0.2908496732026144,0.08350936169399108,0.8922542054548425,0.014366185662082864
MCI vs AD,After Scaling,RandomForest,0.835483870967742,0.01205183137640921,0.7970357757137942,0.06665165651717694,0.994701754385965,0.0072551867438127495,0.13856209150326798,0.06258831173790386,0.9077872465471643,0.006268729639252831
MCI vs AD,After Scaling,SVM,0.8808087891538102,0.031219672520055718,0.8649602109849788,0.04729183858021334,0.9627368421052631,0.021952129008142956,0.5228758169934641,0.12866025937927797,0.9293829149240812,0.018237755351039567
MCI vs AD,After Scaling,LogisticRegression,0.8225105189340812,0.014451363403062644,0.7509806214883614,0.0761537351181953,0.9308771929824562,0.021785489931614575,0.34901960784313724,0.042508790958193717,0.8950812789971488,0.009245787073612528
