Comparison,PCA_Num,PCA Stage,Model,Accuracy_Mean,Accuracy_Std,AUC_Mean,AUC_Std,Sensitivity_Mean,Sensitivity_Std,Specificity_Mean,Specificity_Std,F1-score_Mean,F1-score_Std
NC vs MCI,50,Before Scaling,NeuralNet,0.5180722891566265,0.08025850960526645,0.5395466517306569,0.05286348169778359,0.5365160158602781,0.24901621586247197,0.5128072134920371,0.27810425571065267,0.4487004635400895,0.08405356867628047
NC vs MCI,50,Before Scaling,KNN,0.6674698795180722,0.06727057481996927,0.6839259156167977,0.060264476178563176,0.2909606786655967,0.1344460688984753,0.9148072013793523,0.019941956099546115,0.3966521449343964,0.13843411182874432
NC vs MCI,50,Before Scaling,RandomForest,0.7060240963855422,0.043314886776500104,0.7509174363111683,0.06426444030868429,0.45719899408424,0.08715459858931916,0.8735413459739532,0.07264002192646223,0.5466791305352685,0.05767010008324697
NC vs MCI,50,Before Scaling,SVM,0.7156626506024097,0.034448140856616384,0.7524579201652679,0.029415739966509313,0.5637276020882578,0.07502141457863533,0.8199570489754917,0.06393340505503688,0.6070058072009291,0.04014894566479429
NC vs MCI,50,Before Scaling,LogisticRegression,0.7072289156626506,0.0314755433195497,0.7507659703150942,0.03800634840686165,0.5510838341985883,0.07031947078146254,0.8134490415724773,0.04918287735535348,0.594613630133231,0.03728316607275104
NC vs MCI,50,After Scaling,NeuralNet,0.5614457831325301,0.11216796293434314,0.5267648992370814,0.1548732542218346,0.4228002052592217,0.3442634424381297,0.6599088055171378,0.31538473419875646,0.37818170780073956,0.21065316780569598
NC vs MCI,50,After Scaling,KNN,0.6421686746987951,0.05849890788583235,0.6589132502613924,0.0840198951403518,0.3056243028374176,0.13217886689164238,0.8640727816457323,0.01964109437589777,0.39080955154338964,0.1347325563298577
NC vs MCI,50,After Scaling,RandomForest,0.7048192771084338,0.045080209479204124,0.7557793393281971,0.058273876340532445,0.4876604997916473,0.1355954442959967,0.8544074752184075,0.07494297171994128,0.5571370605454599,0.07930205659485366
NC vs MCI,50,After Scaling,SVM,0.6072289156626506,0.04138690129474136,0.7647078580226286,0.028464851461505652,0.0,0.0,1.0,0.0,0.0,0.0
NC vs MCI,50,After Scaling,LogisticRegression,0.7180722891566266,0.0433148867765001,0.7567554074621573,0.030862005531357022,0.5700285688810279,0.07139633323671889,0.8186710727143991,0.05266920356934093,0.612458069745615,0.045134321580372165
NC vs AD,50,Before Scaling,NeuralNet,0.49229742000961485,0.03160760827841425,0.5082072235985031,0.013402776852114202,0.5532118288215849,0.27446788252735776,0.44898911389448093,0.2894417429929173,0.47552076990731107,0.16100069639269773
NC vs AD,50,Before Scaling,KNN,0.6666096896533305,0.050069281244815,0.7389372293012653,0.04214803825762256,0.43340257303671936,0.07945857731840457,0.884521148070019,0.02506135578444487,0.5518293339148757,0.07918727405730608
NC vs AD,50,Before Scaling,RandomForest,0.8069974894503499,0.04469741241885121,0.8821143819117928,0.012143857820602764,0.7995197891539355,0.06910433947838837,0.8245890043195596,0.08781631724029236,0.7986352245369607,0.04198788329282721
