Comparison,PCA_Num,PCA Stage,Model,Accuracy_Mean,Accuracy_Std,AUC_Mean,AUC_Std,Sensitivity_Mean,Sensitivity_Std,Specificity_Mean,Specificity_Std,F1-score_Mean,F1-score_Std
NC vs MCI,50,Before Scaling,NeuralNet,0.517915417915418,0.07624122437528645,0.49583066620321004,0.0916188218463876,0.5769919026394512,0.1225682825143722,0.41867057673509284,0.10119993408586848,0.5917834233002816,0.10105183686124891
NC vs MCI,50,Before Scaling,KNN,0.582983682983683,0.052129657288818056,0.5713803386186573,0.07333414139643138,0.6971725314463519,0.06380644000000572,0.3885043988269795,0.10387513217938539,0.6738496168742262,0.04549705186950413
NC vs MCI,50,Before Scaling,RandomForest,0.6474192474192475,0.06888778138282656,0.6640608162390562,0.037996530511610595,0.9079706140298185,0.03259986108847464,0.2209579667644183,0.11651211700650263,0.7611008116013677,0.0483656853674735
NC vs MCI,50,Before Scaling,SVM,0.637062937062937,0.06154365093523582,0.6707185870502663,0.04420800033679324,0.6904609728846547,0.07729192403070544,0.5389833822091886,0.05591403830770132,0.6991273986156633,0.06969489902425953
NC vs MCI,50,Before Scaling,LogisticRegression,0.6137529137529137,0.05230390129181042,0.6896042995203923,0.050355711029300594,0.7179298268798731,0.05839404150970975,0.440019550342131,0.043783579367317554,0.6954034479502286,0.05701484179713074
NC vs MCI,50,After Scaling,NeuralNet,0.5334998334998334,0.0468706692870614,0.5067670801053056,0.07752485484994107,0.639773778487932,0.21331041894444766,0.35427174975562065,0.25857878680490004,0.6148373172209889,0.10865794827651507
NC vs MCI,50,After Scaling,KNN,0.5777222777222777,0.06126124685579767,0.5685237057939271,0.0759193184096183,0.6843471052536733,0.08167806379075927,0.41980449657869007,0.1268162520671143,0.6668465017141865,0.04593898334682851
NC vs MCI,50,After Scaling,RandomForest,0.624075924075924,0.07962576928023947,0.6456169182307885,0.08524625183629152,0.8679208164638321,0.08153821690497304,0.21524926686217008,0.0620016762097309,0.7388629124292143,0.0671429131278895
NC vs MCI,50,After Scaling,SVM,0.6371628371628371,0.06110016208780369,0.6892170822638125,0.0567966880755979,0.7347534750171199,0.04499261054759156,0.4690713587487781,0.10684891573639821,0.7142295329847258,0.055488487213907076
NC vs MCI,50,After Scaling,LogisticRegression,0.6577422577422578,0.07982511840825976,0.7039113399253761,0.04525292383371632,0.775824152720545,0.07431972978631264,0.461407624633431,0.08282721121854314,0.7353244949731189,0.07138217655914027
NC vs AD,50,Before Scaling,NeuralNet,0.5191489361702126,0.04898240184349508,0.4565999738862952,0.094758770365948,0.2354195357072595,0.08042716934624461,0.7060938927542344,0.08440675191198958,0.2616750092695587,0.06587878824575764
NC vs AD,50,Before Scaling,KNN,0.6680851063829787,0.0922531208028885,0.7774838129111703,0.0799354356108106,0.14836415502655914,0.11577074112335124,0.985,0.02074983266331454,0.24014874014874016,0.1484589864512057
NC vs AD,50,Before Scaling,RandomForest,0.8042553191489363,0.04360404581259404,0.8795155393584773,0.039666127632711025,0.5700388550068858,0.08387718890775575,0.9430961416824795,0.05190414745967734,0.6841082942849133,0.05883356968853482
NC vs AD,50,Before Scaling,SVM,0.7914893617021277,0.06626558086126566,0.8808668610034008,0.03607668957419783,0.5461917174896713,0.09227373189680886,0.9418954248366014,0.04392866811591697,0.665973792572258,0.06722499933780371
NC vs AD,50,Before Scaling,LogisticRegression,0.8382978723404255,0.07152228218711322,0.871468152562328,0.0623102523912154,0.7533090694471769,0.16131852248741507,0.8704139433551198,0.13444979122561532,0.7772418058132343,0.07867752548400381
NC vs AD,50,After Scaling,NeuralNet,0.5531914893617021,0.11941459745023218,0.5350227396073449,0.09683674310582457,0.4170627582136534,0.24897261455315275,0.6392901820226299,0.2725918412784672,0.37793696024231915,0.18183479383710374
NC vs AD,50,After Scaling,KNN,0.6595744680851064,0.10638297872340426,0.7468121077802622,0.08223900006034887,0.12747737556561084,0.1273906116789638,0.9941176470588236,0.013153341044116413,0.2040743570155335,0.19095709830631277
NC vs AD,50,After Scaling,RandomForest,0.825531914893617,0.05709109729786696,0.9132621887656539,0.037766323338450807,0.5607923470391502,0.12622351695403242,0.9876660341555977,0.01691893216330835,0.700377247273799,0.10561746512183418
NC vs AD,50,After Scaling,SVM,0.851063829787234,0.03980486581674404,0.8958470395026785,0.029864209976831285,0.7315114105843006,0.184441692313,0.9071540515847918,0.047359828581065064,0.7688194870343287,0.11656653241067516
